key,description
node.cpu.user.6,User CPU usage in tenths of a percent for CPU with index 6
node.cpu.user.7,User CPU usage in tenths of a percent for CPU with index 7
node.cpu.user.8,User CPU usage in tenths of a percent for CPU with index 8
node.cpu.user.9,User CPU usage in tenths of a percent for CPU with index 9
node.cpu.user.10,User CPU usage in tenths of a percent for CPU with index 10
node.cpu.user.11,User CPU usage in tenths of a percent for CPU with index 11
node.cpu.user.12,User CPU usage in tenths of a percent for CPU with index 12
node.cpu.user.13,User CPU usage in tenths of a percent for CPU with index 13
node.cpu.user.14,User CPU usage in tenths of a percent for CPU with index 14
node.cpu.user.15,User CPU usage in tenths of a percent for CPU with index 15
node.cpu.sys.0,System CPU usage in tenths of a percent for CPU with index 0
node.cpu.sys.1,System CPU usage in tenths of a percent for CPU with index 1
node.cpu.sys.2,System CPU usage in tenths of a percent for CPU with index 2
node.cpu.sys.3,System CPU usage in tenths of a percent for CPU with index 3
node.cpu.sys.4,System CPU usage in tenths of a percent for CPU with index 4
node.cpu.sys.5,System CPU usage in tenths of a percent for CPU with index 5
node.cpu.sys.6,System CPU usage in tenths of a percent for CPU with index 6
node.cpu.sys.7,System CPU usage in tenths of a percent for CPU with index 7
node.cpu.sys.8,System CPU usage in tenths of a percent for CPU with index 8
node.cpu.sys.9,System CPU usage in tenths of a percent for CPU with index 9
node.cpu.sys.10,System CPU usage in tenths of a percent for CPU with index 10
node.cpu.sys.11,System CPU usage in tenths of a percent for CPU with index 11
node.cpu.sys.12,System CPU usage in tenths of a percent for CPU with index 12
node.cpu.sys.13,System CPU usage in tenths of a percent for CPU with index 13
node.cpu.sys.14,System CPU usage in tenths of a percent for CPU with index 14
node.cpu.sys.15,System CPU usage in tenths of a percent for CPU with index 15
node.cpu.idle.avg,Node average of idle CPU usage in tenths of a percent
node.cpu.intr.avg,Node average of interrupt CPU usage in tenths of a percent
node.cpu.nice.avg,Node average of nice CPU usage in tenths of a percent
node.cpu.user.avg,Node average of user CPU usage in tenths of a percent
node.cpu.sys.avg,Node average of system CPU usage in tenths of a percent
node.cpu.idle.max,Maximum node average of idle CPU usage in tenths of a percent
node.cpu.intr.max,Maximum node average of interrupt CPU usage in tenths of a percent
node.cpu.nice.max,Maximum node average of nice CPU usage in tenths of a percent
node.cpu.user.max,Maximum node average of user CPU usage in tenths of a percent
node.cpu.sys.max,Maximum node average of system CPU usage in tenths of a percent
cluster.cpu.idle.avg,Cluster average of idle CPU usage in tenths of a percent
cluster.cpu.intr.avg,Cluster average of interrupt CPU usage in tenths of a percent
cluster.cpu.nice.avg,Cluster average of nice CPU usage in tenths of a percent
cluster.cpu.user.avg,Cluster average of user CPU usage in tenths of a percent
cluster.cpu.sys.avg,Cluster average of sytem CPU usage in tenths of a percent
cluster.cpu.idle.max,Maximum cluster average of idle CPU usage in tenths of a percent
cluster.cpu.intr.max,Maximum cluster average of interrupt CPU usage in tenths of a percent
cluster.cpu.nice.max,Maximum cluster average of nice CPU usage in tenths of a percent
